"Date","Price","Open","High","Low","Vol.","Change %"
"02/26/2023","23,616.0","23,177.0","23,669.0","23,083.0","0.76K","1.89%"
"02/25/2023","23,177.0","23,201.0","23,222.0","22,810.0","1.12K","-0.10%"
"02/24/2023","23,201.0","23,947.0","24,150.0","22,911.0","3.45K","-3.12%"
"02/23/2023","23,947.0","24,186.0","24,598.0","23,625.0","2.24K","-0.99%"
"02/22/2023","24,186.0","24,460.0","24,485.0","23,586.0","3.34K","-1.12%"
"02/21/2023","24,460.0","24,831.0","25,162.0","24,177.0","3.55K","-1.49%"
"02/20/2023","24,831.0","24,294.0","25,114.0","23,867.0","2.02K","2.21%"
"02/19/2023","24,294.0","24,633.0","25,200.0","24,246.0","2.72K","-1.38%"
"02/18/2023","24,633.0","24,579.0","24,853.0","24,450.0","0.63K","0.22%"
"02/17/2023","24,579.0","23,535.0","25,018.0","23,362.0","4.17K","4.44%"
"02/16/2023","23,535.0","24,318.0","25,232.0","23,527.0","4.64K","-3.22%"
"02/15/2023","24,318.0","22,198.0","24,350.0","22,082.0","2.37K","9.55%"
"02/14/2023","22,198.0","21,773.0","22,311.0","21,578.0","1.44K","1.95%"
"02/13/2023","21,773.0","21,796.0","21,902.0","21,404.0","3.08K","-0.11%"
"02/12/2023","21,796.0","21,866.0","22,095.0","21,667.0","1.26K","-0.32%"
"02/11/2023","21,866.0","21,643.0","21,903.0","21,614.0","0.36K","1.03%"
"02/10/2023","21,643.0","21,800.0","21,937.0","21,500.0","1.47K","-0.72%"
"02/09/2023","21,800.0","22,959.0","23,002.0","21,710.0","3.31K","-5.05%"
"02/08/2023","22,959.0","23,251.0","23,430.0","22,691.0","1.35K","-1.26%"
"02/07/2023","23,251.0","22,755.0","23,350.0","22,744.0","1.20K","2.18%"
"02/06/2023","22,755.0","22,936.0","23,145.0","22,639.0","1.08K","-0.79%"
"02/05/2023","22,936.0","23,315.0","23,419.0","22,799.0","1.44K","-1.63%"
"02/04/2023","23,315.0","23,433.0","23,580.0","23,253.0","0.58K","-0.50%"
"02/03/2023","23,433.0","23,485.0","23,700.0","23,230.0","1.92K","-0.22%"
"02/02/2023","23,485.0","23,723.0","24,239.0","23,395.0","2.83K","-1.00%"
"02/01/2023","23,723.0","23,135.0","23,802.0","22,800.0","2.13K","2.54%"
"01/31/2023","23,135.0","22,837.0","23,286.0","22,730.0","1.99K","1.30%"
"01/30/2023","22,837.0","23,746.0","23,784.0","22,516.0","2.95K","-3.83%"
"01/29/2023","23,746.0","23,029.0","23,962.0","23,000.0","4.24K","3.11%"
"01/28/2023","23,029.0","23,067.0","23,181.0","22,885.0","1.41K","-0.16%"
"01/27/2023","23,067.0","23,004.0","23,475.0","22,539.0","2.25K","0.27%"
"01/26/2023","23,004.0","23,045.0","23,273.0","22,859.0","1.40K","-0.18%"
"01/25/2023","23,045.0","22,627.0","23,812.0","22,334.0","3.74K","1.85%"
